track_id;acousticness;danceability;energy;instrumentalness;key;liveness;loudness;mode;speechiness;tempo;time_signature;valence
56poKFI5j8kzPDO2M4BQHR;1.59e-06;0.157;0.998;0.949;7;0.187;-2.671;1;0.223;133.92;5;0.0395
0vRRMEDKF4Ec5aDIDojinr;0.00231;0.438;0.772;0.000301;2;0.326;-9.166;1;0.158;166.933;4;0.641
1DIhGrVGZamMWrsV0U3maT;0.0424;0.532;0.373;0.779;9;0.133;-16.099;1;0.0282;112.16;4;0.559
1qV3oHa2TxVxoczXRgX6S6;0.324;0.646;0.75;0.0;1;0.273;-5.788;1;0.0433;120.048;4;0.512
18KgQZmXEsilnDgOytqO7a;0.0295;0.636;0.863;0.299;2;0.142;-6.611;1;0.0484;121.954;4;0.375
1yiYG1zCGJv0k3XGLsOQBf;0.387;0.673;0.632;4.12e-05;0;0.0717;-8.7;0;0.115;96.299;4;0.775
2uDORCyAqbMgTEDFGw1WTC;0.012;0.507;0.891;0.00382;9;0.0322;-11.468;1;0.0421;99.679;4;0.924
1JVoMHyO27yXOcBERbuYob;0.16;0.804;0.658;3.3e-06;7;0.452;-10.276;1;0.257;92.998;4;0.868
1ZptmHEIKsmkZCNvMhmUIj;0.151;0.449;0.562;3.33e-05;4;0.149;-7.975;0;0.0326;148.167;4;0.143
4G3dZN9o3o2X4VKwt4CLts;0.0903;0.759;0.756;2.36e-06;4;0.265;-8.145;0;0.266;87.059;4;0.613
4dv5EEuSVwCBtayhHUUlKX;0.174;0.579;0.566;0.479;8;0.127;-9.892;1;0.0274;97.975;4;0.37
2DkfpejPXU5CTW2yAfwWgM;0.797;0.762;0.354;0.049;5;0.293;-15.335;1;0.0503;123.339;4;0.966
0Hy0uZOxSbOD5gJZRtbLT3;0.256;0.8;0.56;1.38e-05;4;0.368;-14.032;1;0.0593;122.942;4;0.963
6OsxjzDrAGltzEOWEXtsWQ;0.0373;0.66;0.839;3.14e-06;4;0.68;-5.179;1;0.0475;119.068;4;0.62
7JAH7BB6Ym7cXj10lcOOwZ;6.26e-05;0.291;0.981;0.533;1;0.293;-5.43;1;0.191;132.405;4;0.272
1aMafyDbpEw3a8FrVhwRlg;0.859;0.53;0.0993;0.197;4;0.153;-23.548;0;0.0549;118.139;4;0.588
2KIewEmQv5PT2ul1rQb9tD;0.928;0.18;0.00803;0.000157;0;0.0948;-38.53;0;0.0405;87.872;5;0.067
6ckMcz9IduRammB66vkt0G;0.682;0.915;0.364;0.0;7;0.0859;-10.686;1;0.0705;104.978;4;0.874
5xoSkpJEXVKPxtAjl6dcpg;4.88e-06;0.399;0.817;0.85;9;0.0531;-13.09;1;0.0326;132.821;4;0.573
42AYRstT0jRj7jHjNUewPd;0.00658;0.218;0.979;0.00127;4;0.0829;-4.506;1;0.0702;188.762;4;0.262
4q3f9fojByQ5yJnaqAM1s3;0.927;0.49;0.2;9.92e-05;3;0.125;-13.842;1;0.0277;101.975;3;0.209
7uS4Ic6k3MlR08p35jprEz;0.205;0.773;0.611;0.809;8;0.0727;-14.045;0;0.0409;90.564;3;0.583
2AK0jzykEOWlRHv43Q6MPa;0.0399;0.447;0.783;5.38e-06;0;0.217;-6.509;1;0.072;163.456;4;0.527
0F7vLmIDFZutchjkEmGZl4;0.724;0.516;0.461;0.628;6;0.0264;-11.268;1;0.0288;91.547;4;0.869
0L2NvhnUNe6q6OCparaAjR;0.983;0.516;0.293;0.0361;9;0.219;-13.129;0;0.0355;122.365;4;0.534
